longitude;latitude;Clase_SOM;Phosphate;Iron;Bottom light;Nitrate;Dissolved oxygen;pH;Salinity;Silicate;Temperature;PAR;Organic matter;Chlorophyll-a;Phytoplankton;Bottom utilized oxygen;Primary productivity ;Asp_bat;East_bat;River influence;Benthic current velocity;Runoff;Wind;Land distance;Mean_bat;Nort_bat;Rdmv_bat;Slop_bat;Stde_bat;Surf_bat;Substrate hardness;Particle size;Euphotic layer depth;Light attenuation coefficient;IBMR
933844.5;826814.5;9;0.3549238;0.001072;21.8866138;0.4698823;215.4048309;7.978159;32.5786324;7.2090559;27.2175331;41.8623657;8.9197531;0.383119;2.0231025;4.4156637;0.0258613;323.6954956;-0.5920764;0.9629867;0.1423117;0.0005771;1.0931202;0.1318836;0;0.8058819;0.2285115;0.1952004;14.8731298;20;41.5897598;4.3353105;21.140976;3.3665476;0.5856939
938305.5;826814.5;9;0.4109966;0.0011044;25.3571148;0.6539706;215.6655884;7.9771056;32.5696945;7.794981;27.2101364;42.0830536;8.9449711;0.3850282;1.9132631;4.7797208;0.0245215;353.2901917;-0.1168412;0.974858;0.163921;0.0007224;1.0076867;0.1459311;0;0.9931506;-0.1003584;0.054953;8.7615881;13;44.4956741;4.3264456;19.8665295;3.9242246;0.6170824
942766.5;826814.5;9;0.5512218;0.0010221;24.8549347;1.1854961;132.1587372;7.9772453;32.9772186;14.5721045;27.089489;41.8140831;8.867857;0.3900267;1.7870783;4.9347901;0.0220207;306.3843079;-0.805056;0.9709339;0.1876859;0.0007871;0.907618;0.1382081;0;0.5931988;-0.2222222;0.1515354;13.7176104;12;46.9565811;4.3816738;19.8283825;4.8343434;0.6722656
866929.5;822353.5;15;2.7869568;0.0007091;0;36.3701782;14.2938538;7.9846616;34.7375565;49.5966835;9.7387094;38.3798904;4.6593661;0.0109216;0.0307193;5.55018;3.00E-07;307.4545898;-0.7938352;0.8288339;0.096971;0;1.4209384;0.4199087;-148.6667023;0.608133;-0.6508938;1.918232;103.2838974;-355;48.8661118;3.9491835;40.5285378;0.2891121;0.089773
871390.5;822353.5;15;2.4248209;0.0007082;0;31.7810268;15.3942623;7.9843807;34.8612328;30.1345081;12.5524054;38.5815315;6.1175232;0.0178221;0.0423114;5.5559578;7.00E-07;279.9128113;-0.9850711;0.8184637;0.1305452;0;1.4427414;0.4132819;-90.375;0.1721481;0.0343379;1.677927;129.7111969;-73;45.7551117;3.9328816;39.6068726;0.3087377;0.0987778
875851.5;822353.5;11;2.0124078;0.0006318;0.0006032;26.2970448;41.5965729;7.9824538;34.9938354;21.4617043;14.5333347;38.73629;4.9559832;0.0990904;0.2051499;5.7767267;0.0001484;353.2731018;-0.1171371;0.8162584;0.1198921;0;1.4447244;0.4174031;-51.4444389;0.9931157;0.7442811;0.3151795;75.6337814;151;44.0169144;4.0883389;35.8696823;0.3064743;0.0995863
880312.5;822353.5;14;1.8060532;0.0004715;0.0169482;23.0134315;69.1740723;7.9838018;34.9291534;13.1604271;15.445013;38.9753494;4.5868087;0.2224991;0.5671442;5.4733062;0.000734;82.0928268;0.9904923;0.8006628;0.1078788;0;1.4863474;0.4009727;-50.6666718;0.1375684;-0.0767296;0.7000655;72.7904129;-71;41.9680099;4.1964073;36.0940437;0.448197;0.1277531
884773.5;822353.5;14;1.6635033;0.0003933;0.0230766;20.8532333;84.7439194;7.9835024;34.9290466;10.2035904;16.1433926;39.1565094;3.3601797;0.2894655;0.7441843;5.3734045;0.0012052;290.2249146;-0.9383432;0.7901179;0.0984696;0;1.5081506;0.3955432;-68.7777786;0.3457052;-0.4012345;0.0650054;6.1060591;-76;45.692028;4.1256275;34.284771;0.5797635;0.1579559
889234.5;822353.5;14;1.6156501;0.0003511;0.0269296;20.0061607;90.8798828;7.9833355;34.9176865;9.4405937;16.5330925;39.2729797;3.4051471;0.3254321;0.8443045;5.3061686;0.0017017;273.9909058;-0.9975751;0.7774704;0.0948152;0;1.5299536;0.390447;-59.8888893;0.0695982;-0.03003;0.2075725;12.9909801;-61;49.9643135;4.1310749;33.7433281;0.6910743;0.1936984
893695.5;822353.5;14;1.5947067;0.0003367;0.0269926;19.6338539;93.5403442;7.9831991;34.8671303;9.1192341;16.7014256;39.3745232;3.5689685;0.3409311;0.887585;5.2464705;0.0019119;280.375885;-0.9836475;0.7740824;0.0890633;2.22E-05;1.5323452;0.3854278;-49;0.1801046;0.2758621;0.1158633;9.4162979;-41;49.3052826;4.1593981;33.4296875;0.7977108;0.224536
